,brand,model,submodel,year,location,price,gearbox,operations,body,gas,color,insidecolor
0,پژو,207,پانوراما دنده ای,1402,تهران ,,0,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1,سمند,سورن,پلاس بنزینی,1401,قم ,538.0,0,28000,بدون رنگ,بنزینی,سفید,داخل مشکی
2,پژو,206,تیپ 2,1399,تهران ,430.0,0,30000,بدون رنگ,بنزینی,خاکستری,داخل مشکی
3,پژو,پارس,XU7P,1401,تهران ,488.0,0,13000,بدون رنگ,بنزینی,مشکی,داخل مشکی
4,پژو,2008,اتوماتیک,1397,کرمان,,1,12000,بدون رنگ,بنزینی,سفید,داخل مشکی
5,کیا,اسپورتیج,4 سیلندر GT لاین,1396,تهران ,3650.0,1,65500,بدون رنگ,بنزینی,سفید,داخل مشکی
6,کیا,موهاوی,8 سیلندر,1390,تهران ,,1,120000,بدون رنگ,بنزینی,مشکی,داخل مشکی
7,پژو,206,تیپ 2,1399,اصفهان ,,0,34000,بدون رنگ,بنزینی,مشکی,داخل مشکی
8,کی ام سی,J7,اتوماتیک,1402,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
9,هیوندای,النترا,2.0 لیتر,1397,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
10,ام وی ام,X22,دنده ای لاکچری,1397,تهران ,550.0,0,133000,یک لکه رنگ,بنزینی,قرمز,داخل مشکی
11,پژو,207,پانوراما دنده ای,1402,تهران ,669.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
12,پژو,207,پانوراما اتوماتیک TU5,1400,تهران ,,1,5000,بدون رنگ,بنزینی,سفید,داخل مشکی
13,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1393,تهران ,2750.0,1,12000,بدون رنگ,بنزینی,مشکی,داخل مشکی
14,جک,جی 4,اتوماتیک,1402,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
15,جک,S5,2.0 لیتر اتوماتیک,1396,اصفهان ,,1,80000,بدون رنگ,بنزینی,مشکی,داخل مشکی
16,کیا,سراتو,2.0 لیتر اتوماتیک,1395,تهران ,,1,75000,دو لکه رنگ,بنزینی,سفید,داخل مشکی
17,کی ام سی,T8,دنده ای,1402,تهران ,700.0,0,0,بدون رنگ,بنزینی,آبی,داخل مشکی
18,تیگارد,X35,اتوماتیک,1401,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
19,لاماری,ایما,اتوماتیک,1401,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
20,فوتون,تونلند G7,بنزینی,1402,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
21,هایما,S7,1.8 لیتر توربو پلاس,1402,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
22,دیگنیتی,پرستیژ,اتوماتیک,1401,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
23,جک,جی 4,اتوماتیک,1402,تهران ,450.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
24,کیا,ریو (مونتاژ),دنده ای,1390,تهران ,310.0,0,308000,دو درب رنگ,بنزینی,نوک مدادی,داخل طوسی
25,فونیکس,تیگو 8 پرو,پرمیوم,1402,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
26,دیگنیتی,پرایم,اتوماتیک,1402,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
27,فونیکس,تیگو 7 پرو,اکسلنت,1401,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
28,ام وی ام,X55 PRO,اکسلنت اسپرت,1401,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
29,چری,آریزو 5T,IE,1401,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
30,هیوندای,النترا,1.8 لیتر,1394,تهران ,,1,97000,گلگیر رنگ,بنزینی,سفید,داخل مشکی
31,فونیکس,FX,پریمیوم,1401,تهران ,,1,9500,بدون رنگ,بنزینی,سفید,داخل مشکی
32,ام وی ام,X55 PRO,IE اسپرت,1402,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
33,فونیکس,تیگو 7 پرو,اکسلنت,1401,تهران ,,1,13000,بدون رنگ,بنزینی,مشکی,داخل مشکی
34,آمیکو,دو کابین آسنا,دنده ای توربو,1402,تهران ,,0,0,بدون رنگ,بنزینی,نارنجی,داخل مشکی
35,ام وی ام,X33 S,5 سرعته اتوماتیک,1400,تهران ,,1,69000,بدون رنگ,بنزینی,سفید,داخل قهوه ای
36,ام وی ام,X22,اتوماتیک لاکچری,1396,تهران ,,1,100000,بدون رنگ,بنزینی,سفید,داخل مشکی
37,ام وی ام,X33 S,گیربکس CVT,1396,تهران ,,1,128000,بدون رنگ,بنزینی,سفید,داخل مشکی
38,تویوتا,پرادو دو در,4 سیلندر,1385,تهران ,2790.0,1,290000,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
39,کیا,سراتو,2.0 لیتر اتوماتیک,1396,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مارون
40,ب ام و,سری 3 سدان,330i,1397,تهران ,,1,45000,بدون رنگ,بنزینی,مشکی,داخل شتری
41,هیوندای,توسان,2.4 لیتر,1394,تهران ,,1,68000,یک لکه رنگ,بنزینی,سفید,داخل مشکی
42,رنو,ساندرو استپ وی,اتوماتیک,1398,شیراز ,,1,17000,بدون رنگ,بنزینی,نوک مدادی,داخل مشکی
43,هاوال,H9,اتوماتیک,1396,تهران ,3850.0,1,40000,بدون رنگ,بنزینی,سفید,داخل قهوه ای
44,هیوندای,سوناتا,چهار سیلندر اتوماتیک,1396,تهران ,,1,120000,بدون رنگ,بنزینی,سفید,داخل سرمه ای
45,ب ام و,سری 3 سدان,330i,1397,تهران ,,1,5000,بدون رنگ,بنزینی,قرمز,داخل مشکی
46,پژو,207,پانوراما دنده ای,1400,تهران ,590.0,0,48000,بدون رنگ,بنزینی,سفید,داخل مشکی
47,پژو,207,پانوراما دنده ای,1400,تهران ,,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
48,ام وی ام,315هاچ بک,ساده,1393,تهران ,330.0,0,63000,بدون رنگ,بنزینی,سفید,داخل کرم
49,کوییک,دنده ای R,دنده ای,1402,تهران ,327.0,0,2000,یک لکه رنگ,بنزینی,نقره ای,داخل مشکی
50,سمند,سورن,ELX,1391,اصفهان ,,0,116000,بدون رنگ,بنزینی,آبی,داخل مشکی
51,مازراتی,کواتروپورته,ساده,1393,تهران ,,1,,بدون رنگ,بنزینی,نقره ای,داخل مشکی
52,پژو,207,دنده ای,1400,نیریز,605.0,0,0,بدون رنگ,بنزینی,مشکی,داخل خاکستری
53,لاماری,ایما,اتوماتیک,1402,تهران ,1625.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
54,ب ام و,X4,28,1396,تهران ,7950.0,1,51000,بدون رنگ,بنزینی,مشکی,داخل موکا
55,ب ام و,سری 5 سدان,528i,1393,تهران ,4350.0,1,85000,دو لکه رنگ,بنزینی,مشکی,داخل موکا
56,پژو,206,تیپ 2,1388,تهران ,208.0,0,298000,چند لکه رنگ,بنزینی,خاکستری,داخل خاکستری
57,فولکس,تیگوان,اتوماتیک,1397,تهران ,,1,40000,بدون رنگ,بنزینی,مشکی,داخل مشکی
58,تویوتا,اف جی کروز,اتوماتیک,1390,تهران ,,1,113000,بدون رنگ,بنزینی,خاکستری,داخل مشکی
59,پورشه,کاین,GTS,1392,تهران ,,1,102000,یک درب رنگ,بنزینی,سفید,داخل قهوه ای
60,مکث موتور,کلوت,دنده‌ای,1401,تهران ,,0,0,بدون رنگ,بنزینی,آبی,داخل مشکی
61,فولکس,تیگوان,اتوماتیک,1397,تهران ,,1,50000,بدون رنگ,بنزینی,سفید,داخل مشکی
62,بنز,کلاس E,E200,1392,تهران ,,1,80000,یک لکه رنگ,بنزینی,مشکی,داخل مشکی
63,لکسوس,NX,200 توربو,1395,تهران ,,1,75000,بدون رنگ,بنزینی,مشکی,داخل مارون
64,ب ام و,X4,28,1395,تهران ,,1,79000,بدون رنگ,بنزینی,سفید,داخل موکا
65,ام وی ام,X55 PRO,IE,1402,تهران ,620.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
66,فونیکس,FX,پریمیوم,1402,تهران ,689.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
67,فونیکس,آریزو 6 پرو,اتوماتیک,1402,تهران ,619.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
68,چری,آریزو 5T,IE,1402,تهران ,545.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
69,فونیکس,تیگو 8 پرو مکس,اکسلنت,1402,تهران ,2379.0,1,0,بدون رنگ,بنزینی,سفید,داخل مارون
70,بنز,کلاس CLS,CLS500,1391,تهران ,,1,50000,بدون رنگ,بنزینی,سفید,داخل موکا
71,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1396,تهران ,,1,11800,بدون رنگ,بنزینی,سفید,داخل مشکی
72,سمند,LX,EF7 دوگانه سوز,1391,بهشهر,240.0,0,256000,گلگیر رنگ,دوگانه سوز,سفید,داخل کرم
73,فیدلیتی,پرایم,هفت نفره,1402,آبیک,1598.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
74,ب ام و,X4,28,1395,کرج ,,1,50000,بدون رنگ,بنزینی,مشکی,داخل موکا
75,فیدلیتی,پرایم,پنج نفره,1402,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
76,پژو,207,پانوراما دنده ای,1401,ساری,625.0,0,20000,بدون رنگ,بنزینی,سفید,داخل مشکی
77,رنو,ساندرو,اتوماتیک,1397,تهران ,,1,160000,بدون رنگ,بنزینی,سفید,داخل مشکی
78,پورشه,پانامرا,4S,1390,تهران ,6200.0,1,103000,چند لکه رنگ,بنزینی,سفید,داخل قرمز
79,هیوندای,آزرا (گرنجور),4 سیلندر,1398,اصفهان ,4550.0,1,23000,بدون رنگ,بنزینی,مشکی,داخل مشکی
80,هیوندای,آزرا (گرنجور),6 سیلندر,1392,اصفهان ,2480.0,1,200000,بدون رنگ,بنزینی,سفید,داخل مارون
81,هیوندای,آزرا (گرنجور),6 سیلندر,1391,اصفهان ,1990.0,1,190000,یک لکه رنگ,بنزینی,سفید,داخل مشکی
82,نیسان,رونیز,دنده ای,1387,تهران ,,0,130000,بدون رنگ,بنزینی,نقره ای,داخل مشکی
83,تویوتا,کمری,GL,1386,اصفهان ,950.0,1,215000,چند لکه رنگ,بنزینی,سفید,داخل کرم
84,نیسان,تی ینا,اتوماتیک,1389,اصفهان ,1650.0,1,135000,بدون رنگ,بنزینی,مشکی,داخل کرم
85,کیا,سراتو کوپ,اتوماتیک,1391,اصفهان ,1029.0,1,150000,دو لکه رنگ,بنزینی,نقره ای,داخل مشکی
86,تویوتا,کمری,GLX,1391,اصفهان ,2190.0,1,108000,بدون رنگ,بنزینی,سفید,داخل کرم
87,کی ام سی,T8,دنده ای,1400,تهران ,1250.0,0,28000,بدون رنگ,بنزینی,سفید,داخل مشکی
88,ب ام و,X4,28,1394,شیراز ,,1,60000,بدون رنگ,بنزینی,کربن بلک,داخل موکا
89,ب ام و,سری 5 سدان,528i,1394,شیراز ,,1,104000,بدون رنگ,بنزینی,مشکی,داخل کرم
90,هیوندای,توسان,2.4 لیتر,1393,شیراز ,,1,150000,بدون رنگ,بنزینی,سفید,داخل موکا
91,هیوندای,آوانته,اتوماتیک,1388,تهران ,,1,59000,بدون رنگ,بنزینی,خاکستری,داخل خاکستری
92,بنز,کلاس E,E250,1394,تهران ,,1,30992,یک لکه رنگ,بنزینی,مشکی,داخل مشکی
93,بنز,کلاس E,E230,1387,تهران ,,1,158069,بدون رنگ,بنزینی,مشکی,داخل مشکی
94,بنز,کلاس E,E200,1397,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
95,فونیکس,تیگو 7 پرو,اکسلنت,1402,تهران ,1040.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
96,دیگنیتی,پرایم,اتوماتیک,1402,تهران ,1610.0,1,0,بدون رنگ,بنزینی,سفید,داخل مارون
97,پراید,صندوق دار,دنده ای,1386,تهران ,165.0,0,310000,گلگیر تعویض,دوگانه سوز,سفید,داخل خاکستری
98,تویوتا,لندکروز چهار در,6 سیلندر 4.0,1389,شیراز ,,1,220000,بدون رنگ,بنزینی,سفید,داخل کرم
99,دنا,پلاس,دنده ای ساده,1400,تهران ,570.0,0,80000,بدون رنگ,بنزینی,مشکی,داخل خاکستری
100,پژو,405,GLX بنزینی,1384,تهران ,175.0,0,410000,یک لکه رنگ,بنزینی,نقره ای,داخل مشکی
101,ام وی ام,X55 PRO,IE,1402,تهران ,890.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
102,کیا,سراتو (مونتاژ),2.0 لیتر آپشنال,1396,تهران ,,1,70000,بدون رنگ,بنزینی,سفید,داخل مشکی
103,پژو,207,دنده ای,1397,تهران ,,0,91000,گلگیر رنگ,بنزینی,سفید,داخل مشکی
104,ام وی ام,X22 PRO,دنده ای,1402,تهران ,500.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
105,تویوتا,C-HR هیبرید,اتوماتیک,1397,تهران ,,1,40000,بدون رنگ,هیبریدی,خاکستری,داخل مشکی
106,پژو,2008,اتوماتیک,1397,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
107,رنو,تالیسمان,E3,1397,تهران ,,1,80000,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
108,ب ام و,X1,25,1396,تهران ,,1,100000,بدون رنگ,بنزینی,سفید,داخل موکا
109,ب ام و,X4,28,1396,تهران ,,1,12000,بدون رنگ,بنزینی,مشکی,داخل موکا
110,هیوندای,آزرا (گرنجور),4 سیلندر,1398,تهران ,,1,20000,بدون رنگ,بنزینی,مشکی,داخل مشکی
111,ب ام و,سری 2 کوپه,220i,1396,تهران ,,1,80000,بدون رنگ,بنزینی,سفید,داخل مارون
112,تویوتا,پرادو دو در,4 سیلندر,1391,تهران ,,1,120000,بدون رنگ,بنزینی,سفید,داخل مشکی
113,پژو,207,پانوراما دنده ای,1401,آمل,615.0,0,24000,بدون رنگ,بنزینی,سفید,داخل مشکی
114,پژو,206,تیپ 5,1399,تهران ,475.0,0,66000,بدون رنگ,بنزینی,سفید,داخل مشکی
115,ام وی ام,X22 PRO,اتوماتیک IE,1402,تهران ,560.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
116,لکسوس,NX هیبرید,300h,1394,تهران ,4950.0,1,100000,بدون رنگ,هیبریدی,مشکی,داخل مشکی
117,کی ام سی,J7,اتوماتیک,1401,تهران ,1355.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
118,کی ام سی,K7,اتوماتیک,1402,تهران ,990.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
119,میتسوبیشی,ASX,نامشخص,1396,تهران ,,1,100000,بدون رنگ,بنزینی,سفید,داخل مشکی
120,هیوندای,ولستر,اتوماتیک,1394,تهران ,,1,184000,بدون رنگ,بنزینی,قرمز,داخل مشکی
121,سمند,سورن,پلاس بنزینی,1401,تهران ,,0,16000,بدون رنگ,بنزینی,سفید,داخل مشکی
122,کیا,سراتو (مونتاژ),2.0 لیتر ساده,1394,تهران ,,1,140000,بدون رنگ,بنزینی,سفید,داخل مشکی
123,تارا,دنده ای V1,دنده ای,1402,تهران ,,0,0,بدون رنگ,بنزینی,نقره ای,داخل مشکی
124,لاماری,ایما,اتوماتیک,1402,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
125,چانگان,CS 35 پلاس,تیپ 3,1402,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
126,پژو,207,MC اتوماتیک,1401,تهران ,715.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
127,کی ام سی,J7,اتوماتیک,1402,تهران ,890.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
128,تویوتا,86 GT,اتوماتیک,1392,تهران ,1650.0,1,122000,چند لکه رنگ,بنزینی,خاکستری,داخل مشکی
129,پژو,207,دنده ای,1400,تهران ,548.0,0,35000,بدون رنگ,بنزینی,سفید,داخل خاکستری
130,پژو,207,دنده ای,1401,تهران ,573.0,0,0,بدون رنگ,بنزینی,سفید,داخل خاکستری
131,جک,جی 5,1.8 لیتر اتوماتیک,1396,بابلسر,650.0,1,100000,یک لکه رنگ,بنزینی,سفید,داخل مشکی
132,برلیانس,H330,1.65 اتوماتیک,1399,تهران ,,1,65000,بدون رنگ,بنزینی,سفید,داخل مشکی
133,پورشه,کاین,S,1391,تهران ,,1,137000,یک درب رنگ,بنزینی,سفید,داخل موکا
134,کیا,سراتو (مونتاژ),2.0 لیتر ساده,1393,تهران ,,1,146000,بدون رنگ,بنزینی,سفید,داخل کرم
135,پژو,2008,اتوماتیک,1398,تهران ,,1,17000,بدون رنگ,بنزینی,سفید,داخل مشکی
136,ولوو,XC90,اینسکریپشن,1395,تهران ,,1,95000,بدون رنگ,بنزینی,مشکی,داخل شتری
137,ب ام و,X1,25,1396,تهران ,,1,40000,بدون رنگ,بنزینی,مشکی,داخل موکا
138,فولکس,ترنسپورتر,اتوماتیک,1385,تهران ,,1,90000,بدون رنگ,بنزینی,نقره ای,داخل خاکستری
139,بنز,کلاس E,E200,1393,تهران ,,1,80000,دو لکه رنگ,بنزینی,قهوه ای,داخل مارون
140,ب ام و,سری 7,730li,1396,تهران ,,1,7000,بدون رنگ,بنزینی,مشکی,داخل موکا
141,بنز,کلاس E,E250,1393,تهران ,,1,70000,بدون رنگ,بنزینی,خاکستری,داخل مشکی
142,بنز,کلاس E,E200,1393,تهران ,,1,57000,بدون رنگ,بنزینی,سفید,داخل مشکی
143,بنز,کلاس E,E200,1396,تهران ,,1,0,بدون رنگ,بنزینی,قهوه ای,داخل سفید
144,مزدا,3 نیو صندوق دار,2.0 لیتر تیپ 1,1389,بابلسر,1000.0,1,230000,بدون رنگ,بنزینی,سفید,داخل مشکی
145,ب ام و,X3,28,1393,تهران ,4000.0,1,95000,بدون رنگ,بنزینی,سفید,داخل مشکی
146,کوییک,دنده ای S,دنده ای,1402,تهران ,355.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
147,لکسوس,NX,200 توربو  fsport,1394,تهران ,,1,70000,بدون رنگ,بنزینی,سفید صدفی,داخل قرمز
148,پورشه,ماکان,اتوماتیک,1396,تهران ,12500.0,1,40000,بدون رنگ,بنزینی,مشکی,داخل مشکی
149,هیوندای,ورنا,اتوماتیک,1389,تهران ,,1,197000,دو لکه رنگ,بنزینی,قهوه ای,داخل خاکستری
150,پورشه,ماکان,اتوماتیک,1396,تهران ,,1,35000,بدون رنگ,بنزینی,بژ,داخل مشکی
151,لاماری,ایما,اتوماتیک,1402,تهران ,1700.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
152,هیوندای,H 350,دنده ای,1402,تهران ,,0,0,بدون رنگ,دیزلی,سفید,داخل مشکی
153,تارا,اتوماتیک V2,اتوماتیک,1401,تهران ,720.0,1,19000,بدون رنگ,بنزینی,مشکی,داخل مشکی
154,نیسان,پیکاپ دو کابین,دنده ای,1387,تهران ,950.0,0,287000,بدون رنگ,بنزینی,سفید,داخل قهوه ای
155,تارا,اتوماتیک V2,اتوماتیک,1402,اراک,770.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
156,لکسوس,NX هیبرید,300h,1395,تهران ,,1,147000,بدون رنگ,هیبریدی,تیتانیوم,داخل مشکی
157,پژو,207,دنده ای,1399,اهواز ,525.0,0,87450,بدون رنگ,بنزینی,مشکی,داخل مشکی
158,بنز,کلاس C,C200,1391,تهران ,2650.0,1,200000,چند لکه رنگ,بنزینی,سربی,داخل مشکی
159,پژو,2008,اتوماتیک,1398,تهران ,1560.0,1,40000,بدون رنگ,بنزینی,مشکی,داخل مشکی
160,چری,آریزو 5T,IE,1402,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
161,رنو,تالیسمان,E3,1397,تهران ,3400.0,1,23000,بدون رنگ,بنزینی,مشکی,داخل مشکی
162,پژو,206,تیپ 2,1390,شهریار,220.0,0,184000,چند لکه رنگ,بنزینی,خاکستری,داخل خاکستری
163,ولوو,XC60,R دیزاین پلاس,1393,تهران ,2550.0,1,155000,بدون رنگ,بنزینی,سفید,داخل مشکی
164,تویوتا,لندکروز چهار در,6 سیلندر 4.0,1390,تهران ,,1,100000,یک لکه رنگ,بنزینی,سفید,داخل کرم
165,چری,آریزو 5T,IE,1401,یزد,,1,24000,بدون رنگ,بنزینی,سفید,داخل مشکی
166,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1396,تهران ,3320.0,1,50000,بدون رنگ,بنزینی,مشکی,داخل مشکی
167,کوییک,SR,دنده ای,1402,کرج ,357.0,0,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
168,فیدلیتی,پرایم,پنج نفره,1402,تهران ,765.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
169,رنو,کولیوس,اتوماتیک,1397,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل قهوه ای
170,بنز,کلاس E,E250,1395,تهران ,7150.0,1,85000,بدون رنگ,بنزینی,قهوه ای,داخل مشکی
171,هاوال,H2,اتوماتیک,1397,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
172,بنز,کلاس C,C200,1394,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
173,تویوتا,پرادو  چهار در,4 سیلندر,1386,تهران ,,1,284000,دو لکه رنگ,بنزینی,سفید صدفی,داخل کرم
174,فونیکس,تیگو 7 پرو,اکسلنت,1401,تهران ,1626.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
175,دیگنیتی,پرایم,اتوماتیک,1402,تهران ,820.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
176,دنا,پلاس,اتوماتیک توربو,1402,تهران ,810.0,1,0,بدون رنگ,بنزینی,سفید,داخل نوک مدادی
177,زامیاد,وانت نیسان,بنزین,1402,تهران ,305.0,0,0,بدون رنگ,بنزینی,آبی,داخل مشکی
178,کیا,سراتو (مونتاژ),2.0 لیتر آپشنال,1398,تهران ,,1,50000,چند لکه رنگ,بنزینی,آبی,داخل مشکی
179,لاماری,ایما,اتوماتیک,1402,تهران ,1640.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
180,فولکس,پاسات,اتوماتیک,1397,تهران ,,1,35000,بدون رنگ,بنزینی,قهوه ای,داخل مشکی
181,ب ام و,X3,28,1393,تهران ,,1,90000,بدون رنگ,بنزینی,سفید,داخل قهوه ای
182,فولکس,تیگوان,اتوماتیک,1397,تهران ,,1,55000,بدون رنگ,بنزینی,مشکی,داخل مشکی
183,سیتروئن,C3 (مونتاژ),اتوماتیک,1397,تهران ,,1,50000,بدون رنگ,بنزینی,سفید,داخل نوک مدادی
184,رانا,پلاس پانوراما,دنده ای,1402,تهران ,275.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
185,ب ام و,سری 7,730li,1396,تهران ,,1,13000,بدون رنگ,بنزینی,کربن بلک,داخل شتری
186,بنز,کلاس E,E250,1393,تهران ,,1,50000,بدون رنگ,بنزینی,قهوه ای,داخل قهوه ای
187,ب ام و,سری 5 سدان,528i,1395,تهران ,6200.0,1,48000,بدون رنگ,بنزینی,مشکی,داخل موکا
188,پژو,206,تیپ 5,1396,آمل,395.0,0,140000,بدون رنگ,بنزینی,سفید,داخل مشکی
189,شاهین,G دنده ای,دنده ای,1402,تهران ,300.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
190,پراید,151,SE,1402,تهران ,273.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
191,سانگ یانگ,تیوولی (مونتاژ),اسپشیال (توربو),1401,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
192,کی ام سی,J7,اتوماتیک,1402,تهران ,715.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
193,کارا,دو کابین,2 لیتر,1402,تهران ,,0,0,بدون رنگ,بنزینی,سفید,داخل سفید
194,ب ام و,سری 3 سدان,328i,1392,تهران ,3300.0,1,112000,بدون رنگ,بنزینی,آبی,داخل کرم
195,جک,S5,2.0 لیتر اتوماتیک,1395,تهران ,,1,77886,بدون رنگ,بنزینی,سفید,داخل مشکی
196,هایما,S7,1.8 لیتر توربو پلاس,1402,تهران ,680.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
197,ام جی,GT,اتوماتیک,1395,تهران ,940.0,1,73000,بدون رنگ,بنزینی,مشکی,داخل موکا
198,کوییک,SR,دنده ای,1402,تهران ,185.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
199,کوییک,SR,دنده ای,1402,تهران ,177.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
200,ب ام و,سری 4 کوپه,420i,1394,تهران ,4200.0,1,70000,بدون رنگ,بنزینی,سفید,داخل قرمز
201,پژو,پارس,LX,1402,تهران ,315.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
202,پاژن,چهار در,دنده ای,1386,رشت ,700.0,0,220000,بدون رنگ,بنزینی,سفید,داخل مشکی
203,پژو,207,MC اتوماتیک,1402,تهران ,380.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
204,پژو,207,پانوراما دنده ای,1402,تهران ,335.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
205,لاماری,ایما,اتوماتیک,1402,تهران ,840.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
206,بنز,کلاس C,C200,1392,تهران ,,1,130000,بدون رنگ,بنزینی,سفید,داخل مشکی
207,چانگان,CS 35 (مونتاژ),اتوماتیک,1396,تهران ,,1,60000,یک لکه رنگ,بنزینی,سفید,داخل مشکی
208,فونیکس,تیگو 8 پرو مکس,اکسلنت,1402,تهران ,1380.0,1,0,بدون رنگ,بنزینی,مشکی,داخل کرم
209,سانگ یانگ,تیوولی (مونتاژ),اسپشیال (توربو),1402,تهران ,2390.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
210,پژو,206,تیپ 2,1400,تهران ,440.0,0,16000,بدون رنگ,بنزینی,مشکی,داخل مشکی
211,فونیکس,FX,پریمیوم,1402,تهران ,910.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
212,کیا,اپتیما,4 سیلندر GT لاین,1395,تهران ,3100.0,1,90000,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
213,ب ام و,X4,28,1396,تهران ,7900.0,1,68000,بدون رنگ,بنزینی,سفید,داخل موکا
214,تویوتا,پرادو  چهار در,6 سیلندر آفرود,1391,تهران ,6900.0,1,280000,دو لکه رنگ,بنزینی,مشکی,داخل مشکی
215,پژو,پارس,XU7,1400,شهریار,435.0,0,52000,صافکاری بدون رنگ,بنزینی,سفید,داخل مشکی
216,تویوتا,کرولا,GLI,1394,تهران ,,1,40000,بدون رنگ,بنزینی,سفید,داخل کرم
217,پژو,پارس,LX,1396,پارس آباد,,0,85000,بدون رنگ,بنزینی,سفید,داخل خاکستری
218,فونیکس,تیگو 7 پرو,اکسلنت,1402,تهران ,825.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
219,جک,S5,1.5 لیتر اتوماتیک,1401,تهران ,,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
220,دنا,پلاس,6 دنده توربو,1402,تهران ,380.0,0,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
221,دنا,پلاس,اتوماتیک توربو,1400,تهران ,690.0,1,43000,بدون رنگ,بنزینی,سفید,داخل مشکی
